MEASURE # 156; PULSES IN 2s: 1
MEASURE # 157; PULSES IN 2s: 3
MEASURE # 158; PULSES IN 2s: 1
MEASURE # 159; PULSES IN 2s: 1
MEASURE # 160; PULSES IN 2s: 1
MEASURE # 161; PULSES IN 2s: 3
MEASURE # 162; PULSES IN 2s: 0
MEASURE # 163; PULSES IN 2s: 2
MEASURE # 164; PULSES IN 2s: 1
MEASURE # 165; PULSES IN 2s: 0
MEASURE # 166; PULSES IN 2s: 1
MEASURE # 167; PULSES IN 2s: 1
MEASURE # 168; PULSES IN 2s: 0
MEASURE # 169; PULSES IN 2s: 4
MEASURE # 170; PULSES IN 2s: 2
MEASURE # 171; PULSES IN 2s: 3
MEASURE # 172; PULSES IN 2s: 1
MEASURE # 173; PULSES IN 2s: 1
MEASURE # 174; PULSES IN 2s: 2
MEASURE # 175; PULSES IN 2s: 1
MEASURE # 176; PULSES IN 2s: 2
MEASURE # 177; PULSES IN 2s: 1
MEASURE # 178; PULSES IN 2s: 1
MEASURE # 179; PULSES IN 2s: 3
MEASURE # 180; PULSES IN 2s: 1
MEASURE # 181; PULSES IN 2s: 0
MEASURE # 182; PULSES IN 2s: 3
MEASURE # 183; PULSES IN 2s: 2
MEASURE # 184; PULSES IN 2s: 3
MEASURE # 185; PULSES IN 2s: 0
MEASURE # 186; PULSES IN 2s: 1
MEASURE # 187; PULSES IN 2s: 1
MEASURE # 188; PULSES IN 2s: 2
MEASURE # 189; PULSES IN 2s: 2
MEASURE # 190; PULSES IN 2s: 4
MEASURE # 191; PULSES IN 2s: 3
MEASURE # 192; PULSES IN 2s: 2
MEASURE # 193; PULSES IN 2s: 1
MEASURE # 194; PULSES IN 2s: 1
MEASURE # 195; PULSES IN 2s: 1
MEASURE # 196; PULSES IN 2s: 2
MEASURE # 197; PULSES IN 2s: 3
MEASURE # 198; PULSES IN 2s: 1
MEASURE # 199; PULSES IN 2s: 0
MEASURE # 200; PULSES IN 2s: 1
MEASURE # 201; PULSES IN 2s: 1
MEASURE # 202; PULSES IN 2s: 0
MEASURE # 203; PULSES IN 2s: 2
MEASURE # 204; PULSES IN 2s: 4
MEASURE # 205; PULSES IN 2s: 1
MEASURE # 206; PULSES IN 2s: 0
MEASURE # 207; PULSES IN 2s: 0
MEASURE # 208; PULSES IN 2s: 4
MEASURE # 209; PULSES IN 2s: 1
MEASURE # 210; PULSES IN 2s: 1
MEASURE # 211; PULSES IN 2s: 1
MEASURE # 212; PULSES IN 2s: 1
MEASURE # 213; PULSES IN 2s: 0
MEASURE # 214; PULSES IN 2s: 1
MEASURE # 215; PULSES IN 2s: 2
MEASURE # 216; PULSES IN 2s: 2
MEASURE # 217; PULSES IN 2s: 2
MEASURE # 218; PULSES IN 2s: 4
MEASURE # 219; PULSES IN 2s: 1
MEASURE # 220; PULSES IN 2s: 0
MEASURE # 221; PULSES IN 2s: 3
MEASURE # 222; PULSES IN 2s: 0
MEASURE # 223; PULSES IN 2s: 0
MEASURE # 224; PULSES IN 2s: 1
MEASURE # 225; PULSES IN 2s: 0
MEASURE # 226; PULSES IN 2s: 3
MEASURE # 227; PULSES IN 2s: 1
MEASURE # 228; PULSES IN 2s: 1
MEASURE # 229; PULSES IN 2s: 1
MEASURE # 230; PULSES IN 2s: 2
MEASURE # 231; PULSES IN 2s: 2
MEASURE # 232; PULSES IN 2s: 2
MEASURE # 233; PULSES IN 2s: 2
MEASURE # 234; PULSES IN 2s: 3
MEASURE # 235; PULSES IN 2s: 1
